Date,Open,High,Low,Close,Volume
1984-09-07,165.65,166.31,164.22,164.37,46727778
1984-09-10,164.37,165.05,163.06,164.26,41338889
1984-09-11,165.22,166.17,164.28,164.45,56277778
1984-09-12,164.45,164.81,164.14,164.68,43322222
1984-09-13,164.68,167.94,164.68,167.94,61388889
1984-09-14,167.94,169.65,167.94,168.78,76333333
1984-09-17,168.78,169.37,167.99,168.87,49327778
1984-09-18,168.87,168.87,167.64,167.65,59833333
1984-09-19,167.65,168.76,166.89,166.94,66611111
1984-09-20,166.94,167.47,166.7,167.47,51127778
1984-09-21,167.47,168.67,165.66,165.67,67000000
1984-09-24,165.67,166.12,164.98,165.28,42433333
1984-09-25,165.28,165.97,164.45,165.62,47916667
1984-09-26,165.62,167.2,165.61,166.28,55666667
1984-09-27,166.75,167.18,166.33,166.96,49377778
1984-09-28,166.96,166.96,165.77,166.1,43861111
1984-10-01,166.1,166.1,164.48,164.62,40905556
1984-10-02,164.62,165.24,163.55,163.59,49644444
1984-10-03,163.59,163.59,162.2,162.44,51333333
1984-10-04,162.44,163.22,162.44,162.92,42611111
1984-10-05,162.92,163.32,162.51,162.68,46083333
1984-10-08,162.68,162.68,161.8,162.13,25755556
1984-10-09,162.13,162.84,161.62,161.67,42688889
1984-10-10,161.67,162.12,160.02,162.11,52372222
1984-10-11,162.11,162.87,162,162.78,48344444
1984-10-12,162.78,164.47,162.78,164.18,51216667
1984-10-15,164.18,166.15,164.09,165.77,48661111
1984-10-16,165.78,165.78,164.66,164.78,46072222
1984-10-17,164.78,165.04,163.71,164.14,55411111
1984-10-18,164.14,168.1,163.8,168.1,83055556
1984-10-19,168.08,169.62,167.31,167.96,103833333
1984-10-22,167.96,168.36,167.26,167.36,45011111
1984-10-23,167.36,168.27,166.83,167.09,51255556
1984-10-24,167.09,167.54,166.82,167.2,50900000
1984-10-25,167.2,167.62,166.17,166.31,51533333
1984-10-26,166.31,166.31,164.93,165.29,46611111
1984-10-29,165.29,165.29,164.67,164.78,35111111
1984-10-30,164.78,167.33,164.78,166.84,52888889
1984-10-31,166.74,166.95,165.99,166.09,51050000
1984-11-01,166.09,167.83,166.09,167.49,59611111
1984-11-02,167.49,167.95,167.24,167.42,53783333
1984-11-05,167.42,168.65,167.33,168.58,47072222
1984-11-06,168.58,170.41,168.58,170.41,56222222
1984-11-07,170.41,170.41,168.44,169.17,61555556
1984-11-08,169.19,169.27,168.27,168.68,49211111
1984-11-09,168.68,169.46,167.44,167.6,46455556
1984-11-12,167.65,167.65,166.67,167.36,30894444
1984-11-13,167.36,167.38,165.79,165.97,38772222
1984-11-14,165.97,166.43,165.39,165.99,41077778
1984-11-15,165.99,166.49,165.61,165.89,45294444
1984-11-16,165.89,166.24,164.09,164.1,46188889
1984-11-19,164.1,164.34,163.03,163.09,38738889
1984-11-20,163.1,164.47,163.1,164.18,46244444
1984-11-21,164.18,164.68,163.29,164.51,45344444
1984-11-23,164.52,166.92,164.52,166.92,41061111
1984-11-26,166.92,166.92,165.37,165.55,42511111
1984-11-27,165.55,166.85,165.07,166.29,53038889
1984-11-28,166.29,166.9,164.97,165.02,47944444
1984-11-29,165.02,165.02,163.78,163.91,42144444
1984-11-30,163.91,163.91,162.99,163.58,43100000
1984-12-03,163.58,163.58,162.29,162.82,52944444
1984-12-04,162.82,163.91,162.82,163.38,45138889
1984-12-05,163.38,163.4,161.93,162.1,49277778
1984-12-06,162.1,163.11,161.76,162.76,53644444
1984-12-07,162.76,163.31,162.26,162.26,45000000
1984-12-10,162.26,163.32,161.54,162.83,45077778
1984-12-11,162.83,163.18,162.56,163.07,44577778
1984-12-12,163.07,163.18,162.55,162.63,43727778
1984-12-13,162.63,162.92,161.54,161.81,44916667
1984-12-14,161.81,163.53,161.63,162.69,52811111
1984-12-17,162.69,163.63,162.44,163.61,49716667
1984-12-18,163.61,168.11,163.61,168.11,93888889
1984-12-19,168.11,169.03,166.84,167.16,77555556
1984-12-20,167.16,167.58,166.29,166.38,51788889
1984-12-21,166.34,166.38,164.62,165.51,56222222
1984-12-24,165.51,166.93,165.5,166.76,30861111
1984-12-26,166.76,166.76,166.29,166.47,25944444
1984-12-27,166.47,166.5,165.62,165.75,38944444
1984-12-28,165.75,166.32,165.67,166.26,42816667
1984-12-31,166.26,167.34,166.06,167.24,44588889
1985-01-02,167.2,167.2,165.19,165.37,37677778
1985-01-03,165.37,166.11,164.38,164.57,49377778
1985-01-04,164.55,164.55,163.36,163.68,43044444
1985-01-07,163.68,164.71,163.68,164.24,47883333
1985-01-08,164.24,164.59,163.91,163.99,51172222
1985-01-09,163.99,165.57,163.99,165.18,55127778
1985-01-10,165.18,168.31,164.99,168.31,69277778
1985-01-11,168.31,168.72,167.58,167.91,59777778
1985-01-14,167.91,170.55,167.58,170.51,69388889
1985-01-15,170.51,171.82,170.4,170.81,86277778
1985-01-16,170.81,171.94,170.41,171.19,75277778
1985-01-17,171.19,171.34,170.22,170.73,63111111
1985-01-18,170.73,171.42,170.66,171.32,58166667
1985-01-21,171.32,175.45,171.31,175.23,81555556
1985-01-22,175.23,176.63,175.14,175.48,97111111
1985-01-23,175.48,177.3,175.15,177.3,80222222
1985-01-24,177.3,178.16,176.56,176.71,89277778
1985-01-25,176.71,177.75,176.54,177.35,68000000
1985-01-28,177.35,178.19,176.56,177.4,71333333
1985-01-29,177.4,179.19,176.58,179.18,64277778
1985-01-30,179.18,180.27,179.05,179.39,94444444
1985-01-31,179.39,179.83,178.56,179.63,73611111
1985-02-01,179.63,179.63,178.44,178.63,58555556
1985-02-04,178.63,180.35,177.75,180.35,63166667
1985-02-05,180.35,181.53,180.07,180.61,79944444
1985-02-06,180.61,181.5,180.32,180.43,78333333
1985-02-07,180.43,181.96,180.43,181.82,84277778
1985-02-08,181.82,182.39,181.67,182.19,64722222
1985-02-11,182.19,182.19,180.11,180.51,57777778
1985-02-12,180.51,180.75,179.45,180.56,61722222
1985-02-13,180.56,183.86,180.5,183.35,79166667
1985-02-14,183.35,183.95,182.39,182.41,77611111
1985-02-15,182.41,182.65,181.23,181.6,59166667
1985-02-19,181.6,181.61,180.95,181.33,50222222
1985-02-20,181.33,182.1,180.64,181.18,65666667
1985-02-21,181.18,181.18,180.02,180.19,57777778
1985-02-22,180.19,180.41,179.23,179.36,52044444
1985-02-25,179.36,179.36,178.13,179.23,49855556
1985-02-26,179.23,181.58,179.16,181.17,63444444
1985-02-27,181.17,181.87,180.5,180.71,59833333
1985-02-28,180.71,181.21,180.33,181.18,55944444
1985-03-01,181.18,183.89,181.16,183.23,77722222
1985-03-04,183.23,183.41,181.4,182.06,56722222
1985-03-05,182.06,182.65,181.42,182.23,64666667
1985-03-06,182.23,182.25,180.59,180.65,64944444
1985-03-07,180.65,180.65,179.44,179.51,62277778
1985-03-08,179.51,179.97,179.07,179.1,53550000
1985-03-11,179.1,179.46,178.15,178.79,46727778
1985-03-12,178.79,180.14,178.7,179.66,51577778
1985-03-13,179.66,179.96,178.02,178.19,56500000
1985-03-14,178.19,178.53,177.61,177.84,57444444
1985-03-15,177.84,178.41,176.53,176.53,58444444
1985-03-18,176.53,177.66,176.53,176.88,52233333
1985-03-19,176.88,179.56,176.87,179.54,66222222
1985-03-20,179.54,179.78,178.79,179.08,59722222
